NomePessoa,MatAluno
"Felipe Lima",041932876
"Rodrigo Santos",109472658
"Rafaela Pereira",174620389
"Felipe Rodrigues",218456709
"Renata Alves",259134608
"Camila Santos",286510734
"Anderson Ferreira",396245870
"Marcela Costa",467850132
"Isabela Costa",503186729
"Isabela Souza",530769124
"Juliana Pereira",605874231
"Lúcia Oliveira",637982041
"Mariana Costa",674391205
"Juliana Oliveira",684395702
"Rafaela Oliveira",685093274
"Rafael Pereira",803746129
"Anderson Souza",820467139
"Fernanda Oliveira",936074218
"Carlos Torres",937051682
"João da Silva",948507216
